1,1,1,1
1,0,1,-1
2,5,0,5
3,1,5,-4
4,4,7,-3
5,9,5,4
6,14,7,7
7,12,9,3
8,6,2,4
9,5,2,3
10,1,9,-8
2,2,2,2
1,3,0,3
2,3,0,3
3,1,1,0
4,1,0,1
5,2,1,1
6,6,0,6
7,5,3,2
8,6,12,-6
9,4,11,-7
10,12,15,-3
3,3,3,3
1,0,1,-1
2,0,1,-1
3,0,4,-4
4,1,5,-4
5,2,8,-6
6,5,7,-2
7,0,1,-1
8,3,2,1
9,28,15,13
10,25,10,15
4,4,4,4
1,1,1,0
2,5,6,-1
3,0,8,-8
4,3,11,-8
5,11,4,7
6,8,8,0
7,14,7,7
8,9,9,0
9,3,4,-1
10,1,14,-13
5,5,5,5
1,2,1,1
2,4,5,-1
3,7,11,-4
4,15,9,6
5,11,1,10
6,3,7,-4
7,2,2,0
8,1,1,0
9,0,0,0
10,2,0,2
6,6,6,6
1,0,0,0
2,0,0,0
3,0,1,-1
4,2,2,0
5,8,0,8
6,5,8,-3
7,17,12,5
8,10,7,3
9,10,15,-5
10,6,18,-12
7,7,7,7
1,2,0,2
2,0,6,-6
3,2,6,-4
4,7,7,0
5,9,8,1
6,16,20,-4
7,20,31,-11
8,15,29,-14
9,13,11,2
10,1,12,-11
8,8,8,8
1,2,10,-8
2,0,6,-6
3,4,5,-1
4,5,5,0
5,6,6,0
6,12,9,3
7,21,13,8
8,23,5,18
9,14,10,4
10,5,13,-8
9,9,9,9
1,0,0,0
2,5,1,4
3,9,22,-13
4,5,13,-8
5,6,17,-11
6,4,17,-13
7,1,6,-5
8,8,1,7
9,4,8,-4
10,4,10,-6
10,10,10,10
1,1,2,-1
2,1,0,1
3,24,8,16
4,20,8,12
5,5,5,0
6,3,2,1
7,26,3,23
8,35,2,33
9,18,8,10
10,16,19,-3
11,11,11,11
1,4,2,2
2,10,8,2
3,7,22,-15
4,3,14,-11
5,6,9,-3
6,7,11,-4
7,14,8,6
8,7,16,-9
9,3,6,-3
10,5,10,-5
12,12,12,12
1,2,0,2
2,1,2,-1
3,7,5,2
4,7,7,0
5,10,8,2
6,12,11,1
7,13,9,4
8,6,2,4
9,2,1,1
10,6,5,1
13,13,13,13
1,0,1,-1
2,2,0,2
3,1,0,1
4,2,0,2
5,4,7,-3
6,3,3,0
7,3,2,1
8,2,2,0
9,0,2,-2
10,5,3,2
14,14,14,14
1,1,1,0
2,0,0,0
3,0,3,-3
4,3,2,1
5,4,2,2
6,3,4,-1
7,7,5,2
8,9,1,8
9,7,3,4
10,8,4,4
15,15,15,15
1,0,0,0
2,3,2,1
3,2,0,2
4,0,4,-4
5,2,9,-7
6,2,2,0
7,5,8,-3
8,1,1,0
9,6,1,5
10,5,3,2
16,16,16,16
1,2,1,1
2,3,3,0
3,0,0,0
4,2,1,1
5,14,9,5
6,14,22,-8
7,5,8,-3
8,14,11,3
9,7,10,-3
10,5,2,3
17,17,17,17
1,3,0,3
2,1,1,0
3,2,1,1
4,2,5,-3
5,8,3,5
6,13,10,3
7,9,8,1
8,9,11,-2
9,16,10,6
10,18,9,9
18,18,18,18
1,0,0,0
2,0,0,0
3,2,1,1
4,0,1,-1
5,1,1,0
6,4,3,1
7,4,4,0
8,14,2,12
9,7,9,-2
10,11,11,0
19,19,19,19
1,5,4,1
2,8,5,3
3,4,3,1
4,7,3,4
5,12,6,6
6,14,13,1
7,13,6,7
8,9,4,5
9,35,9,26
10,29,13,16
20,20,20,20
1,2,1,1
2,5,1,4
3,3,4,-1
4,3,7,-4
5,3,8,-5
6,5,5,0
7,2,2,0
8,2,5,-3
9,4,6,-2
10,6,10,-4
21,21,21,21
1,2,0,2
2,2,2,0
3,15,8,7
4,5,14,-9
5,3,20,-17
6,1,7,-6
7,0,5,-5
8,1,2,-1
9,3,5,-2
10,12,3,9
22,22,22,22
1,3,8,-5
2,9,7,2
3,22,19,3
4,20,9,11
5,20,15,5
6,20,28,-8
7,12,27,-15
8,16,9,7
9,11,6,5
10,9,8,1
23,23,23,23
1,0,16,-16
2,3,11,-8
3,2,5,-3
4,14,4,10
5,15,17,-2
6,11,11,0
7,8,8,0
8,8,3,5
9,3,2,1
10,2,3,-1
24,24,24,24
1,0,4,-4
2,3,0,3
3,6,1,5
4,1,3,-2
5,9,9,0
6,9,18,-9
7,6,11,-5
8,17,7,10
9,11,9,2
10,14,3,11
25,25,25,25
1,3,2,1
2,8,5,3
3,7,4,3
4,7,5,2
5,5,5,0
6,6,14,-8
7,8,14,-6
8,5,10,-5
9,1,8,-7
10,1,6,-5
26,26,26,26
1,2,1,1
2,8,0,8
3,7,2,5
4,6,1,5
5,7,2,5
6,12,3,9
7,1,6,-5
8,5,5,0
9,1,10,-9
10,1,7,-6
27,27,27,27
1,1,0,1
2,3,1,2
3,0,3,-3
4,0,5,-5
5,5,5,0
6,7,7,0
7,1,4,-3
8,0,5,-5
9,8,10,-2
10,13,10,3
28,28,28,28
1,0,2,-2
2,0,6,-6
3,6,4,2
4,3,3,0
5,3,8,-5
6,4,0,4
7,5,7,-2
8,6,7,-1
9,14,14,0
10,14,5,9
29,29,29,29
1,2,2,0
2,5,1,4
3,1,4,-3
4,2,2,0
5,3,4,-1
6,10,7,3
7,26,18,8
8,33,12,21
9,34,19,15
10,33,19,14
30,30,30,30
1,1,2,-1
2,2,0,2
3,1,6,-5
4,1,1,0
5,6,11,-5
6,8,8,0
7,7,4,3
8,10,4,6
9,3,0,3
10,2,2,0
31,31,31,31
1,2,0,2
2,5,2,3
3,4,4,0
4,5,2,3
5,13,1,12
6,9,0,9
7,9,2,7
8,13,3,10
9,9,6,3
10,1,8,-7
32,32,32,32
1,0,9,-9
2,1,11,-10
3,2,4,-2
4,9,0,9
5,0,3,-3
6,1,4,-3
7,6,0,6
8,5,1,4
9,3,4,-1
10,14,5,9
33,33,33,33
1,2,1,1
2,4,0,4
3,3,5,-2
4,7,6,1
5,6,1,5
6,4,6,-2
7,4,6,-2
8,8,8,0
9,5,11,-6
10,7,7,0
34,34,34,34
1,1,0,1
2,0,1,-1
3,2,3,-1
4,2,5,-3
5,2,7,-5
6,5,4,1
7,2,6,-4
8,0,7,-7
9,0,1,-1
10,4,2,2
35,35,35,35
1,2,1,1
2,0,0,0
3,1,1,0
4,5,0,5
5,7,4,3
6,11,9,2
7,3,4,-1
8,7,5,2
9,4,1,3
10,6,7,-1
36,36,36,36
1,3,1,2
2,4,13,-9
3,2,4,-2
4,10,7,3
5,10,1,9
6,7,0,7
7,7,5,2
8,10,4,6
9,4,4,0
10,4,4,0
37,37,37,37
1,2,0,2
2,2,3,-1
3,0,5,-5
4,3,6,-3
5,0,5,-5
6,1,3,-2
7,4,0,4
8,12,4,8
9,27,3,24
10,34,4,30
38,38,38,38
1,2,4,-2
2,0,5,-5
3,1,8,-7
4,8,4,4
5,16,11,5
6,12,15,-3
7,12,9,3
8,20,18,2
9,15,17,-2
10,21,4,17
39,39,39,39
1,1,0,1
2,5,2,3
3,11,2,9
4,13,1,12
5,13,7,6
6,8,10,-2
7,2,13,-11
8,18,24,-6
9,15,39,-24
10,24,19,5
40,40,40,40
1,9,3,6
2,14,13,1
3,7,9,-2
4,15,4,11
5,15,6,9
6,5,5,0
7,10,13,-3
8,6,15,-9
9,9,17,-8
10,12,15,-3
41,41,41,41
1,4,0,4
2,3,1,2
3,7,1,6
4,4,5,-1
5,3,3,0
6,1,0,1
7,3,8,-5
8,7,2,5
9,4,4,0
10,4,2,2
42,42,42,42
1,0,1,-1
2,10,0,10
3,11,11,0
4,3,15,-12
5,13,6,7
6,17,7,10
7,28,9,19
8,19,7,12
9,28,26,2
10,19,32,-13
43,43,43,43
1,4,1,3
2,4,3,1
3,29,6,23
4,17,7,10
5,11,9,2
6,19,12,7
7,16,13,3
8,8,24,-16
9,4,22,-18
10,22,10,12
44,44,44,44
1,2,3,-1
2,5,5,0
3,3,12,-9
4,0,7,-7
5,4,5,-1
6,7,3,4
7,6,13,-7
8,6,7,-1
9,6,12,-6
10,1,9,-8
45,45,45,45
1,0,5,-5
2,1,6,-5
3,1,11,-10
4,6,22,-16
5,15,31,-16
6,24,27,-3
7,23,21,2
8,27,30,-3
9,33,33,0
10,16,22,-6
46,46,46,46
1,0,1,-1
2,2,1,1
3,1,0,1
4,0,3,-3
5,1,1,0
6,5,3,2
7,6,3,3
8,13,2,11
9,14,5,9
10,15,8,7
47,47,47,47
1,3,2,1
2,1,2,-1
3,2,4,-2
4,4,3,1
5,5,1,4
6,5,2,3
7,3,5,-2
8,11,12,-1
9,11,28,-17
10,21,34,-13
48,48,48,48
1,1,0,1
2,3,5,-2
3,1,4,-3
4,3,4,-1
5,6,5,1
6,5,17,-12
7,3,19,-16
8,6,22,-16
9,5,23,-18
10,14,10,4
49,49,49,49
1,4,0,4
2,2,3,-1
3,2,7,-5
4,2,7,-5
5,1,4,-3
6,3,10,-7
7,22,16,6
8,21,7,14
9,18,5,13
10,19,5,14
50,50,50,50
1,4,1,3
2,5,3,2
3,4,2,2
4,2,0,2
5,11,2,9
6,6,6,0
7,4,5,-1
8,2,8,-6
9,2,2,0
10,2,9,-7